PublicID,V1G_PublicID,V1G_Complete,V1G_Status,V1GVer,V1GDATE_INT,V1GA01,V1GA02,V1GA03,V1GA04,V1GA05,V1GA06,V1GA07,V1GA08,V1GA09,V1GA10,V1GA11,V1GA12
00004O,00004O,Complete,Passed,2,-199,6,7,7,7,7,5,5,6,4,7,6,2
00007I,00007I,Complete,Passed,2,-208,7,7,4,5,7,4,5,2,4,7,4,5
00008G,00008G,Complete,Passed,2,-141,7,7,7,7,7,7,7,7,7,7,7,7
00015J,00015J,Complete,Passed,2,-198,1,1,1,1,1,1,1,1,1,1,1,1
00016H,00016H,Complete,Passed,2,-192,7,7,7,7,7,7,6,7,7,6,7,7
00017F,00017F,Complete,Passed,2,-188,7,7,6,6,7,5,6,6,6,7,6,6
00018D,00018D,Complete,Passed,2,-187,7,7,7,7,7,6,6,7,6,7,7,6
00019B,00019B,Complete,Passed,2,-169,7,7,7,7,7,6,7,7,7,7,7,7
00021O,00021O,Complete,Passed,2,-140,6,7,6,6,7,6,6,6,6,7,7,6
00022M,00022M,Complete,Passed,2,-190,6,6,5,5,6,6,6,5,6,6,6,6
00023K,00023K,Complete,Passed,2,-193,6,6,4,3,6,6,5,5,6,6,4,6
00024I,00024I,Complete,Passed,2,-165,7,7,7,7,7,6,5,7,5,7,7,6
00026E,00026E,Complete,Passed,2,-190,6,7,7,7,7,6,6,7,6,6,7,6
00027C,00027C,Complete,Passed,2,-187,7,7,7,7,7,7,7,7,7,7,7,7
00029V,00029V,Complete,Passed,2,-188,7,7,7,7,7,7,7,7,7,7,7,7
00030N,00030N,Complete,Passed,2,-186,7,7,7,7,7,7,7,7,7,7,7,7
00031L,00031L,Complete,Passed,2,-194,7,7,3,4,7,2,1,3,1,7,2,2
00032J,00032J,Complete,Passed,2,-214,5,6,4,4,5,4,4,5,4,5,4,4
00033H,00033H,Complete,Passed,2,-215,6,6,7,7,6,4,6,7,5,7,6,5
00034F,00034F,Complete,Passed,2,-187,6,7,6,7,7,7,6,6,7,7,5,6
00036B,00036B,Complete,Passed,2,-189,7,7,7,7,7,7,6,7,7,7,7,6
00037W,00037W,Complete,Passed,2,-195,7,7,7,7,7,7,7,7,7,7,7,7
00039S,00039S,Complete,Passed,2,-195,7,7,7,7,7,7,7,7,7,7,7,7
00040K,00040K,Complete,Passed,2,-179,7,7,7,7,7,7,7,7,7,7,7,7
00042G,00042G,Complete,Passed,2,-186,6,7,7,7,7,7,7,7,7,7,7,7
00043E,00043E,Complete,Passed,2,-185,7,7,7,7,7,7,6,7,6,7,7,6
00047T,00047T,Complete,Passed,2,-187,4,3,3,3,2,3,2,1,4,3,2,3
00048R,00048R,Complete,Passed,2,-204,7,7,7,7,7,4,4,7,4,7,7,4
00049P,00049P,Complete,Passed,2,-191,7,7,7,7,7,4,4,6,6,7,7,5
00051F,00051F,Complete,Passed,2,-191,6,7,7,7,6,7,7,6,7,6,6,7
00056S,00056S,Complete,Passed,2,-187,6,7,6,6,7,5,5,6,5,7,6,5
00057Q,00057Q,Complete,Passed,2,-164,7,7,7,7,7,7,7,7,7,7,7,7
00060E,00060E,Complete,Passed,2,-145,7,7,7,7,7,7,7,7,7,7,7,7
00063V,00063V,Complete,Passed,2,-206,7,7,7,7,7,6,6,7,7,7,7,7
00065R,00065R,Complete,Passed,2,-196,7,7,7,7,7,4,3,6,6,7,7,4
00067N,00067N,Complete,Passed,2,-218,7,7,5,4,7,5,5,5,6,7,5,6
00068L,00068L,Complete,Passed,2,-201,7,7,7,7,7,6,6,7,7,7,5,7
00070B,00070B,Complete,Passed,2,-189,2,1,1,1,1,2,3,1,1,1,1,3
00072U,00072U,Complete,Passed,2,-156,7,7,6,6,7,4,4,6,4,7,6,4
00074Q,00074Q,Complete,Passed,2,-184,7,7,7,7,7,7,6,7,7,7,7,6
00075O,00075O,Complete,Passed,2,-131,1,1,1,1,1,1,1,1,1,1,1,1
00077K,00077K,Complete,Passed,2,-200,7,7,7,7,7,7,6,7,7,7,7,7
00078I,00078I,Complete,Passed,2,-183,7,7,6,5,7,6,6,6,6,7,5,6
00079G,00079G,Complete,Passed,2,-182,6,4,5,6,4,6,5,2,4,3,7,5
00082R,00082R,Complete,Passed,2,-163,7,7,7,7,7,6,6,7,7,7,7,6
00083P,00083P,Complete,Passed,2,-167,7,7,7,7,7,6,7,7,6,7,6,6
00085L,00085L,Complete,Passed,2,-158,7,7,7,7,7,7,7,7,7,7,7,7
00088F,00088F,Complete,Passed,2,-193,7,7,7,7,7,7,7,7,7,7,7,7
00089D,00089D,Complete,Passed,2,-183,6,6,7,6,6,6,6,6,6,6,7,6
00092O,00092O,Complete,Passed,2,-190,7,7,7,7,7,7,7,7,7,7,7,7
00093M,00093M,Complete,Passed,2,-182,7,7,7,7,7,7,7,6,7,7,6,7
00096G,00096G,Complete,Passed,2,-208,6,7,6,7,7,6,6,7,7,7,7,6
00098C,00098C,Complete,Passed,2,-142,7,6,7,7,7,7,6,6,7,7,7,5
00099A,00099A,Complete,Passed,2,-234,7,7,4,4,7,6,2,1,7,7,1,7
00105I,00105I,Complete,Passed,2,-197,7,7,7,7,7,7,7,7,7,7,7,7
00106G,00106G,Complete,Passed,2,-191,7,7,4,5,7,6,6,2,7,7,4,7
00107E,00107E,Complete,Passed,2,-202,7,7,7,7,7,7,7,7,7,7,7,7
00111N,00111N,Complete,Passed,2,-181,6,7,7,6,7,6,6,6,7,7,6,6
00112L,00112L,Complete,Passed,2,-196,7,7,7,7,7,7,7,7,7,7,7,7
00113J,00113J,Complete,Passed,2,-158,7,7,7,7,7,5,5,7,7,7,6,6
00116D,00116D,Complete,Passed,2,-202,6,7,7,7,7,6,7,7,7,7,7,7
00117B,00117B,Complete,Passed,2,-200,6,6,7,7,6,6,6,7,6,6,7,7
00118W,00118W,Complete,Passed,2,-136,7,7,7,7,7,7,7,7,7,7,7,7
00120M,00120M,Complete,Passed,2,-164,7,7,7,7,7,7,7,6,6,7,7,6
00121K,00121K,Complete,Passed,2,-189,4,7,7,7,7,7,7,7,7,4,7,7
