PublicID,V3C_PublicID,V3C_Complete,V3C_Status,V3CVer,V3CDATE_INT,V3CA01,V3CA02,V3CA03,V3CA04,V3CA05,V3CA06,V3CA07,V3CA08,V3CA09,V3CA10
00004O,00004O,Complete,Passed,2,-87,1,1,2,3,3,3,2,3,2,3
00007I,00007I,Complete,Passed,2,-82,1,1,3,3,4,3,3,3,4,4
00008G,00008G,Complete,Passed,2,-71,1,1,3,3,3,3,4,4,4,4
00015J,00015J,Complete,Passed,2,-85,1,1,4,1,4,4,4,4,4,4
00016H,00016H,Complete,Passed,2,-86,1,1,3,1,2,2,4,3,3,4
00017F,00017F,Complete,Passed,2,-88,1,1,2,3,3,4,4,3,3,4
00018D,00018D,Complete,Passed,2,-101,1,1,2,2,3,3,4,4,3,4
00019B,00019B,Complete,Passed,2,-97,1,1,4,4,4,4,4,4,4,4
00021O,00021O,Complete,Passed,2,-84,1,1,2,3,2,3,4,4,4,4
00022M,00022M,Complete,Passed,2,-89,1,1,3,2,3,3,4,3,3,4
00023K,00023K,Complete,Passed,2,-87,1,1,3,2,3,3,3,3,4,4
00024I,00024I,Complete,Passed,2,-72,1,1,4,1,4,4,4,4,4,4
00026E,00026E,Complete,Passed,2,-87,1,1,2,3,3,3,4,3,3,4
00027C,00027C,Complete,Passed,2,-74,1,1,3,1,4,4,4,4,4,4
00030N,00030N,Complete,Passed,2,-89,1,1,3,2,3,3,4,4,4,4
00031L,00031L,Complete,Passed,2,-79,1,1,3,1,4,3,4,4,4,4
00032J,00032J,Complete,Passed,2,-88,1,1,2,3,3,2,4,3,4,4
00033H,00033H,Complete,Passed,2,-100,1,2,4,1,4,3,4,4,4,4
00034F,00034F,Complete,Passed,2,-123,2,2,2,3,2,2,2,2,2,4
00036B,00036B,Complete,Passed,2,-102,1,1,4,1,4,4,4,4,4,4
00037W,00037W,Complete,Passed,2,-69,1,1,4,1,3,4,4,4,4,4
00038U,00038U,Complete,Passed,2,-90,1,1,4,1,4,4,4,4,4,4
00039S,00039S,Complete,Passed,2,-83,1,1,2,3,2,3,4,2,2,4
00040K,00040K,Complete,Passed,2,-81,1,1,4,1,4,4,4,4,4,4
00042G,00042G,Complete,Passed,2,-75,1,1,4,2,3,3,4,3,4,4
00043E,00043E,Complete,Passed,2,-86,1,1,1,4,2,2,4,3,3,4
00047T,00047T,Complete,Passed,2,-89,2,2,2,3,2,3,1,2,3,4
00049P,00049P,Complete,Passed,2,-108,1,1,2,3,3,3,3,3,3,4
00051F,00051F,Complete,Passed,2,-93,1,1,2,2,3,4,4,4,4,4
00053B,00053B,Complete,Passed,2,-89,1,1,2,3,4,2,4,4,3,4
00056S,00056S,Complete,Passed,2,-82,1,1,3,3,3,3,2,4,4,4
00057Q,00057Q,Complete,Passed,2,-94,1,1,3,1,4,4,4,4,4,4
00060E,00060E,Complete,Passed,2,-96,1,1,3,2,3,3,4,3,3,4
00062A,00062A,Complete,Passed,2,-82,1,1,4,3,3,2,3,3,3,4
00063V,00063V,Complete,Passed,2,-101,1,2,3,2,3,4,4,3,3,4
00065R,00065R,Complete,Passed,2,-91,1,2,4,1,4,3,3,4,4,4
00067N,00067N,Complete,Passed,2,-94,1,1,4,2,3,4,4,4,4,4
00068L,00068L,Complete,Passed,2,-78,1,1,3,3,4,3,3,4,4,4
00070B,00070B,Complete,Passed,2,-77,1,1,4,3,2,2,4,3,3,4
00072U,00072U,Complete,Passed,2,-83,1,1,2,3,3,2,4,2,3,4
00074Q,00074Q,Complete,Passed,2,-89,1,1,2,2,4,3,4,4,4,4
00077K,00077K,Complete,Passed,2,-87,1,1,4,1,4,3,4,4,3,4
00078I,00078I,Complete,Passed,2,-113,1,1,4,1,4,4,4,4,4,4
00079G,00079G,Complete,Reviewed,2,-99,1,1,2,2,2,,,,,
00082R,00082R,Complete,Passed,2,-98,1,1,3,2,4,3,2,4,3,4
00083P,00083P,Complete,Passed,2,-90,1,1,4,2,3,3,4,4,4,4
00085L,00085L,Complete,Passed,2,-75,1,1,3,2,4,2,4,4,4,4
00088F,00088F,Complete,Passed,2,-83,1,1,4,1,4,4,4,4,4,4
00089D,00089D,Complete,Passed,2,-83,1,1,4,1,4,4,4,4,4,4
00092O,00092O,Complete,Passed,2,-78,1,1,4,1,4,4,4,4,4,4
00093M,00093M,Complete,Passed,2,-77,1,1,3,3,3,3,4,4,4,4
